개발 상황,EPIC,SUB-EPIC,API명칭,METHOD,URL,설명,권한,사람,작성완료
연동 필요,강의,강의,강의 등록,POST,/api/courses,"새 강의 등록 (강의명, 과목, 설명, 커리큘럼, 가격 등)",강사,종준 박,Yes
연동 필요,강의,강의,공개/비공개 전환,PATCH,/api/courses/{courseId}/status,"강의 공개(PUBLISHED) / 비공개(DRAFT) 상태 전환 - 강사(본인 강의), 관리자(전체 강의)","강사, 관리자",종준 박,No
연동 필요,결제/주문/구독,장바구니,장바구니 항목 삭제,DELETE,/api/cart/{cartItemId},장바구니 특정 항목 삭제,회원,종준 박,Yes
연동 필요,결제/주문/구독,구독,구독 취소,DELETE,/api/subscriptions/{subscriptionId},구독 취소 (만료일까지 서비스 유지),회원,종준 박,Yes
연동 필요,강의,강의,강사별 강의 조회,GET,/api/courses?instructor={instructorId},특정 강사의 강의 목록 필터 조회,비회원,종준 박,Yes
연동 필요,강의,강의,강의 수정,PATCH,/api/courses/{courseId},본인 강의 정보 수정 (작성자 본인만 가능),강사,종준 박,Yes
연동 필요,강의,강의,과목별 강의 조회,GET,/api/courses?subject={subjectId},특정 과목에 속한 강의 목록 필터 조회,비회원,종준 박,Yes
연동 필요,결제/주문/구독,장바구니,장바구니 조회,GET,/api/cart,본인 장바구니 목록 조회,회원,종준 박,Yes
연동 필요,결제/주문/구독,구독,구독 신청,POST,/api/subscriptions,구독 플랜 신청 및 결제 처리 (중복 구독 예외처리 포함),회원,종준 박,Yes
연동 필요,강의,강의,강의 목록 조회,GET,/api/courses,전체 강의 목록 조회 (페이징),비회원,종준 박,Yes
연동 필요,결제/주문/구독,주문,주문 생성,POST,/api/orders,장바구니 항목으로 주문 생성 (쿠폰 할인 적용 가능),회원,종준 박,Yes
연동 필요,수강신청,수강신청,수강 취소,DELETE,/api/enrollments/{enrollmentId},수강 취소 (환불 정책에 따라 환불 연동),회원,종준 박,Yes
연동 필요,강의,강의,강의 상세 조회,GET,/api/courses/{courseId},"강의 상세 정보 조회 (커리큘럼, 평균 별점, 리뷰 포함)",비회원,종준 박,Yes
연동 필요,수강신청,수강신청,강의 접근 권한 확인,GET,/api/enrollments/{enrollmentId}/access,수강 중인 강의 콘텐츠 접근 권한 확인 (만료 여부 포함),,종준 박,Yes
연동 필요,수강신청,수강신청,내 수강 목록 조회,GET,/api/enrollments/me,"본인 수강 목록 조회 (진행률, 만료일 포함)",회원,종준 박,Yes
연동 필요,결제/주문/구독,구독,내 구독 조회,GET,/api/subscriptions/me,"현재 구독 정보 조회 (플랜명, 시작일, 만료일, 결제 내역)",회원,종준 박,Yes
연동 필요,결제/주문/구독,구독,구독 플랜 목록 조회,GET,/api/subscription-plans,"이용 가능한 구독 플랜 목록 조회 (가격, 기간, 혜택 포함)",비회원,종준 박,Yes
연동 필요,결제/주문/구독,결제,결제 내역 조회,GET,/api/payments/me,본인 전체 결제 내역 조회,회원,종준 박,Yes
연동 필요,수강신청,환불,"환불 신청  ",POST,/api/enrollments/{enrollmentId}/refund,환불 정책 내 환불 신청 접수 (관리자 처리 연동),회원,종준 박,Yes
연동 필요,수강신청,수강신청,수강신청,POST,/api/enrollments,강의 수강신청 (수강권 또는 결제 연동),회원,종준 박,Yes
연동 필요,강의,과목,과목 목록 조회,GET,/api/subjects,전체 과목 목록 조회,비회원,종준 박,Yes
연동 필요,결제/주문/구독,장바구니,장바구니 담기,POST,/api/cart,강의를 장바구니에 추가 (중복/이미 수강 중 예외처리 포함),회원,종준 박,Yes
연동 필요,결제/주문/구독,결제,결제 처리,POST,/api/payments,PG사 결제 처리 및 수강신청 자동화 (중복결제 방지 포함),회원,종준 박,Yes
연동 필요,강의,강의,강의 삭제,DELETE,/api/courses/{courseId},강의 삭제 (작성자 본인 또는 관리자),"강사, 관리자",종준 박,Yes
연동 필요,영상학습/진도,영상재생,강의 영상 재생 정보 조회,GET,/api/learning/videos/{videoId}/play,사용자의 수강/구독 권한을 검증한 뒤 영상 재생 메타데이터 또는 접근 URL을 반환,"수강생, 회원",이태연,Yes
연동 필요,영상학습/진도,진도관리,마지막 재생 위치 저장,PATCH,/api/learning/videos/{videoId}/progress/position,마지막 재생 위치를 초 단위로 저장,"수강생, 회원",이태연,Yes
연동 필요,영상학습/진도,진도관리,이어보기 정보 조회,GET,/api/learning/videos/{videoId}/progress/position,마지막 시청 위치를 조회하여 이어보기 위치 제공,"수강생, 회원",이태연,Yes
연동 필요,영상학습/진도,진도관리,영상 시청 시간 저장,PATCH,/api/learning/videos/{videoId}/progress/watch-time,실제 시청 시간을 누적 저장,"수강생, 회원",이태연,Yes
연동 필요,영상학습/진도,진도관리,영상 완료 처리,PATCH,/api/learning/videos/{videoId}/progress/complete,시청 비율 90% 이상일 때 완료 상태로 반영,"수강생, 회원",이태연,Yes
연동 필요,영상학습/진도,진도관리,단일 영상 진도 조회,GET,/api/learning/videos/{videoId}/progress,"마지막 위치, 시청 시간, 완료 여부를 조회","수강생, 회원",이태연,Yes
연동 필요,영상학습/진도,진도관리,강의 전체 진도 조회,GET,/api/learning/courses/{courseId}/progress,해당 강의의 전체 진도율과 영상별 학습 상태를 조회,"수강생, 회원",이태연,Yes
연동 필요,순공시간,타이머,순공시간 세션 시작,POST,/api/study-timers/sessions,순공시간 측정 세션 생성 및 RUNNING 상태 시작,"수강생, 회원",이태연,Yes
연동 필요,순공시간,타이머,순공시간 heartbeat 저장,PATCH,/api/study-timers/sessions/{sessionId}/heartbeat,비정상 종료 대비용 주기적 순공시간 부분 저장,"수강생, 회원",이태연,Yes
연동 필요,순공시간,타이머,순공시간 세션 종료,PATCH,/api/study-timers/sessions/{sessionId}/end,최종 순공시간을 저장하고 세션 상태를 ENDED로 변경,"수강생, 회원",이태연,Yes
연동 필요,순공시간,타이머,실행 중 세션 조회,GET,/api/study-timers/sessions/current,현재 실행 중인 순공시간 세션 조회,"수강생, 회원",이태연,Yes
연동 필요,순공시간,통계,일별 순공시간 조회,GET,/api/study-timers/stats/daily,특정 기간의 일별 순공시간 합계를 조회,"수강생, 회원",이태연,Yes
연동 필요,학습 통계,집계,일별 학습 통계 조회,GET,/api/stats/daily-study,"날짜별 수강량, 순공시간, 완료 영상 수를 조회","수강생, 회원",이태연,Yes
연동 필요,학습 통계,집계,특정 날짜 학습 통계 조회,GET,/api/stats/daily-study/{date},특정 날짜의 상세 학습 통계 조회,"수강생, 회원",이태연,Yes
연동 필요,마이페이지,프로필,내 프로필 조회,GET,/api/users/me,로그인한 사용자의 프로필 정보 조회,회원,이태연,Yes
연동 필요,마이페이지,프로필,내 프로필 수정,PATCH,/api/users/me,"프로필 이미지, 비밀번호 등 내 정보 수정",회원,이태연,Yes
연동 필요,마이페이지,내강의,내 수강 강의 목록 조회,GET,/api/users/me/courses,"본인 수강 중 강의 목록과 진도율, 이어보기 정보 조회",회원,이태연,Yes
연동 필요,마이페이지,결제,내 결제 내역 조회,GET,/api/payments/me,본인의 전체 결제 내역 조회,회원,이태연,Yes
연동 필요,마이페이지,활동,내 활동 조회,GET,/api/users/me/activities,"본인이 작성한 리뷰, 게시글, 댓글 목록 조회",회원,이태연,Yes
연동 필요,마이페이지,강의,완료 강의 목록 조회,GET,/api/users/me/courses/completed,수강 완료 강의 목록 조회,"수강생, 회원",이태연,Yes
연동 필요,마이페이지,랭킹,내 랭킹 요약 조회,GET,/api/rankings/me,"순공시간, 수강량, 채택 수 기준 내 랭킹 요약 조회",회원,이태연,Yes
연동 필요,마이페이지,채팅,내 채팅방 목록 조회,GET,/api/users/me/chat-rooms,사용자가 참여 중인 채팅방 목록 조회,회원,이태연,Yes
연동 필요,학습 잔디,잔디 조회,수강량 잔디 조회,GET,/api/grass/lessons,날짜별 수강량 기준 잔디 데이터 조회,"수강생, 회원",이태연,Yes
연동 필요,학습 잔디,잔디 조회,순공시간 잔디 조회,GET,/api/grass/study-time,날짜별 순공시간 기준 잔디 데이터 조회,"수강생, 회원",이태연,Yes
연동 필요,학습 잔디,잔디 조회,연간 잔디 조회,GET,/api/grass/yearly?year={year},특정 연도의 52주 기준 잔디 데이터 조회,"수강생, 회원",이태연,Yes
연동 필요,학습 잔디,잔디 조회,월별 잔디 조회,GET,/api/grass/monthly?year={year}&month={month},특정 월 기준 잔디 데이터 조회,"수강생, 회원",이태연,Yes
연동 필요,학습 잔디,잔디 기능,특정 날짜 잔디 상세 조회,GET,/api/grass/days/{date},"특정 날짜의 수강량, 순공시간, 학습 여부 상세 조회","수강생, 회원",이태연,Yes
연동 필요,학습 잔디,학습통계,연속 학습일 조회,GET,/api/grass/streak,현재 기준 연속 학습일(streak) 조회,"수강생, 회원",이태연,Yes
연동 필요,학습 잔디,잔디 기능,보기 모드 전환용 데이터 조회,GET,/api/grass?view={monthly|yearly}&year={year}&month={month},월별/연간 보기 전환에 필요한 잔디 데이터 조회,"수강생, 회원",이태연,Yes
연동 필요,랭킹,순공시간,순공시간 랭킹 조회,GET,/api/rankings/study-time?period={daily|weekly|monthly},기간별 순공시간 랭킹 조회,회원,이태연,Yes
연동 필요,랭킹,수강량,수강량 랭킹 조회,GET,/api/rankings/lessons?period={daily|weekly|monthly},기간별 수강량 랭킹 조회,회원,이태연,Yes
연동 필요,랭킹,채택,댓글 채택 수 랭킹 조회,GET,/api/rankings/accepted-comments?period={daily|weekly|monthly},댓글 채택 수 기준 랭킹 조회,회원,이태연,Yes
연동 필요,랭킹,내 순위,내 랭킹 정보 조회,GET,/api/rankings/me?period={daily|weekly|monthly},"본인의 현재 랭킹, 전체 사용자 수, 상위 퍼센트 조회",회원,이태연,Yes
연동 필요,커뮤니티,리뷰,본인 리뷰 수정,PATCH,/api/courses/{courseId}/reviews/{reviewId},본인 리뷰/별점 수정 및 평균 별점 재계산,수강생,강현 유,Yes
연동 필요,커뮤니티,리뷰,본인 리뷰 삭제,DELETE,/api/courses/{courseId}/reviews/{reviewId},본인 리뷰 삭제 및 병균 별점 재계산,수강생,강현 유,Yes
연동 필요,커뮤니티,리뷰,수강 리뷰 작성,POST,/api/courses/{courseId}/reviews,수강 완료 강의에 대한 별점/리뷰 등록,수강생,강현 유,Yes
연동 필요,커뮤니티,리뷰,리뷰 목록 조회,GET,/api/courses/{courseId}/reviews,강의별 리뷰 조회(본인 글 최상단 다중 정렬),회원,강현 유,Yes
연동 필요,커뮤니티,게시글,"커뮤니티 글 작성(자유, 질문)",POST,/api/posts,"자유/질문 게시판 글 작성(과목 필수, 강의 코드 선택)",회원,강현 유,Yes
연동 필요,커뮤니티,게시글,게시판별 목록 조회,GET,/api/boards/{boardType}/posts,게시판 타입별 목록 페이징 조회,회원,강현 유,Yes
연동 필요,커뮤니티,게시글,게시글 상세 조회,GET,/api/posts/{postId},상세 내용 조회 및 어뷰징 방지 조회수 증가,회원,강현 유,Yes
연동 필요,커뮤니티,게시글,게시글 수정,PATCH,/api/posts/{postId},본인 댓글 수정(채택글 수정 불가),회원,강현 유,Yes
연동 필요,커뮤니티,게시글,게시글 삭제,DELETE,/api/posts/{postId},본인 글 삭제(채택글+ 채택 댓글 삭제 불가),회원,강현 유,Yes
연동 필요,커뮤니티,댓글,댓글/대댓글 작성,POST,/api/comments,게시글에 댓글 작성(대댓글 1단계 제한),회원,강현 유,Yes
연동 필요,커뮤니티,댓글,댓글 목록 조회,GET,/api/posts/{postId}/comments,특정 게시글의 부모-자식 댓글 조회(채택 최상단),회원,강현 유,Yes
연동 필요,커뮤니티,댓글,댓글 수정,PATCH,/api/comments/{commentId},본인 댓글 수정(채택된 댓글 수정 불가),회원,강현 유,Yes
연동 필요,커뮤니티,댓글,댓글 삭제,DELETE,/api/comments/{commentId},본인 댓글 삭제(대댓글 존재시 내용만 마스킹),회원,강현 유,Yes
연동 필요,커뮤니티,댓글,댓글 채택,POST,/api/comments/{commentId}/accept,원댓글 채택 및 게시글 상태 변경,회원,강현 유,Yes
연동 필요,스터디,모집글,스터디 모집 작성,POST,/api/study,정원/ 과목 포함 스터디 모집 글 등록(방장 자동 참여),회원,강현 유,Yes
연동 필요,스터디,모집글,스터디 목록 조회,GET,/api/study,과목 필터 및 현재 인원/ 정원 목록 조회,회원,강현 유,Yes
연동 필요,스터디,모집글,스터디 상세 조회,GET,/api/study/{groupId},상세 정보 및 참여 버튼 상태(마감여부) 조회,회원,강현 유,Yes
연동 필요,스터디,모집글,모집글 수정,PATCH,/api/study/{groupId},방장의 스터디 정보 수정,회원,강현 유,Yes
연동 필요,스터디,모집글,스터디 해산,DELETE,/api/study/{groupId},방장의 스터디 삭제 및 멤버 해산 알림,회원,강현 유,Yes
연동 필요,스터디,멤버,스터디 참여 신청,POST,/api/study/{groupId}/join,동시성 제어 적용 정원 내 회원 참여 및 채팅방 입장,회원,강현 유,Yes
연동 필요,스터디,멤버,스터디 나가기,DELETE,/api/study/{groupId}/leave,참여 중인 스터디 퇴장 및 회원 인원 차감,회원,강현 유,Yes
연동 필요,신고,콘텐츠,신고 접수,POST,/api/reports,타인 콘텐츠 복수 사유 신고(5명 누적 체크),회원,강현 유,Yes
연동 필요,신고,관리자,관리자 신고 목록,GET,/api/reports,5회 이상 누적 신고 콘텐츠 목록 조회,관리자,강현 유,Yes
연동 필요,신고,관리자,신고 상태 처리,PATCH,/api/reports/{reportId}/action,관리자의 신고 삭제/반려 처리,관리자,강현 유,Yes
연동 필요,공통,파일,다중 파일 업로드,POST,/api/files/upload,"게시글, 댓글용 이미지 업로드 및 url 변환",회원,강현 유,Yes
연동 필요,공지/알림,공지사항,전체 공지사항 작성,POST,/api/notices,전체 공지 등록,관리자,강현 유,Yes
연동 필요,공지/알림,공지사항,공지사항 상세 조회,GET,/api/notices/{noticeId},공지사항 상세 조회,회원,강현 유,Yes
연동 필요,공지/알림,공지사항,강의 공지사항 작성,POST,/api/courses/{courseId}/notices,강의별 공지 등록,강사,강현 유,Yes
연동 필요,공지/알림,공지사항,공자사항 목록 조회,GET,/api/notices,고정 공지 상단 포함 목록 조회,회원,강현 유,Yes
연동 필요,공지/알림,공지사항,공지사항 수정,PATCH,/api/notices/{noticeId},작성자 본인의 공지 내용/고정 여부 수정,"강사, 관리자",강현 유,Yes
연동 필요,공지/알림,공지사항,공지사항 삭제,DELETE,/api/notices/{noticeId},작성자 본인의 공지 삭제,"강사, 관리자",강현 유,Yes
연동 필요,공지/알림,알림,알림 목록 조회,GET,/api/notifications,본인 수신 알림 최신순 조회,회원,강현 유,Yes
연동 필요,공지/알림,알림,알림 읽음 처리,PATCH,/api/notifications/{notiId}/read,특정 알림 클릭 시 읽음 상태로 변경,회원,강현 유,Yes
연동 필요,공지/알림,알림,미확인 알림 개수,GET,/api/notifications/unread-count,헤더 배지용 읽지 않은 알림 개수 반환,회원,강현 유,Yes
,,,,,,,,,No
,,,,,,,,,No
,,,,,,,,,No
,,,,,,,,,No
,,,,,,,,,No
,,,,,,,,,No
연동 필요,강의,강의,강사 내 강의 목록 조회,GET,/api/instructor/courses,"강사 대시보드 - 본인이 등록한 강의 목록 + 통계 조회 (평균 별점, 수강생 수, 리뷰 수, 등록일)",강사,종준 박,Yes
연동 필요,강의,과목,과목 목록 조회,POST,/api/subjects,전체 과목 목록 조회 (강의 필터링 및 등록 시 subjectId 유효성 검증 용도),비회원,종준 박,Yes
